question_text,category,difficulty,correct_answer,option_1,option_2,option_3,option_4
Gas fee trên Ethereum được tính theo công thức nào?,Blockchain,hard,option_3,Gas price × Gas limit,Gas limit ÷ Gas price,Gas used × Gas price,Gas limit × Gas used
EIP-1559 cải thiện vấn đề gì trong Ethereum?,Blockchain,hard,option_2,Tăng kích thước block,Cải thiện cơ chế tính phí gas,Giảm latency giao dịch,Tăng bảo mật
Trong blockchain thuật toán PBFT phù hợp nhất với loại ứng dụng nào?,Blockchain,hard,option_2,Ứng dụng công khai,Ứng dụng permissioned,Ứng dụng tập trung,Ứng dụng không xác định
Vai trò của Beacon Chain trong Ethereum 2.0 là gì?,Blockchain,hard,option_2,Tăng tốc độ giao dịch,Đảm bảo phân bổ validator,Thực thi hợp đồng thông minh,Tăng kích thước block
""State Channel"" trong blockchain là gì?,Blockchain,hard,option_1,Giao thức xử lý ngoài chuỗi,Giao dịch cross-chain,Tăng bảo mật cho blockchain,Loại consensus mới
Ứng dụng của hashing trong Merkle Tree là gì?,Blockchain,hard,option_1,Xác minh dữ liệu nhanh chóng,Lưu trữ thông tin,Tăng tốc độ giao dịch,Bảo mật địa chỉ ví
Tại sao PoS tiêu thụ ít năng lượng hơn PoW?,Blockchain,hard,option_1,Không cần khai thác vật lý,Ít node hơn,Ít giao dịch hơn,Ít token hơn
Chức năng của “time-lock” trong smart contract là gì?,Blockchain,hard,option_2,Bảo mật private key,Xác định thời gian giải phóng giá trị,Tăng tốc giao dịch,Giới hạn người dùng
Cơ chế nào giúp IPFS duy trì tính toàn vẹn dữ liệu?,Blockchain,hard,option_1,Hashing,Encryption,Sharding,State Channel
Lightning Network giúp cải thiện vấn đề gì trong Bitcoin?,Blockchain,hard,option_3,Giảm phí giao dịch,Tăng tốc độ giao dịch,Cả A và B,Tăng tính bảo mật
Một điểm yếu của Proof of Stake là gì?,Blockchain,hard,option_1,Dễ bị tấn công Sybil,Phí giao dịch cao,Tốn tài nguyên,Khó mở rộng
Để thực hiện atomic swap cần công nghệ gì?,Blockchain,hard,option_3,Smart contract,Cross-chain bridge,Hash Time-Locked Contracts (HTLC),Decentralized Exchange
Công nghệ nào cho phép tương tác giữa các blockchain khác nhau?,Blockchain,hard,option_1,Interledger Protocol,Beacon Chain,Sidechain,Plasma
Trong zk-SNARKs ""ZK"" viết tắt của gì?,Blockchain,hard,option_1,Zero Knowledge,Zone Key,Zero Key,Zero Kinematics
Sidechain chủ yếu được sử dụng để làm gì?,Blockchain,hard,option_2,Tăng tính bảo mật,Giảm tải cho blockchain chính,Tăng decentralization,Tăng kích thước block
Mục tiêu chính của “Elliptic Curve Cryptography” trong blockchain là gì?,Blockchain,hard,option_1,Tăng bảo mật giao dịch,Tăng tốc độ xử lý,Giảm chi phí tính toán,Giảm dung lượng lưu trữ
Hợp đồng thông minh sử dụng loại chữ ký nào để xác thực giao dịch?,Blockchain,hard,option_3,RSA,DSA,ECDSA,HMAC
Delegated Proof of Stake (DPoS) khác PoS ở điểm nào?,Blockchain,hard,option_2,Tăng decentralization,Bầu chọn đại biểu,Tăng tốc độ mining,Giảm số lượng node
""Slashing"" trong PoS có vai trò gì?,Blockchain,hard,option_2,Thưởng cho validator,Phạt hành vi xấu của validator,Tăng tốc độ giao dịch,Tăng số lượng node
Công nghệ nào dưới đây giúp bảo vệ danh tính trong blockchain?,Blockchain,hard,option_1,Zero-Knowledge Proof,Public Key,Elliptic Curve,State Channel
Rollup khác Sidechain ở điểm nào?,Blockchain,hard,option_4,Xử lý trên layer 1,Phí thấp hơn,Không cần validator độc lập,Cả A và C
Trong BFT tối đa bao nhiêu phần trăm node có thể bị lỗi mà hệ thống vẫn hoạt động?,Blockchain,hard,option_1,33%,50%,25%,66%
Mục tiêu chính của công nghệ “Tokenization” là gì?,Blockchain,hard,option_1,Tăng tính thanh khoản,Tăng bảo mật,Tăng phí giao dịch,Giảm decentralization
Cơ chế nào giúp Ethereum shard chain hoạt động hiệu quả?,Blockchain,hard,option_1,Beacon Chain,Plasma,zk-SNARKs,Layer 3 Protocol
Thuật toán nào hiệu quả hơn khi triển khai đồng thuận permissioned blockchain?,Blockchain,hard,option_1,PBFT,PoW,PoS,DPoS
Trong zk-SNARK vai trò của ""trusted setup"" là gì?,Blockchain,hard,option_2,Tăng tốc độ giao dịch,Xác thực dữ liệu ban đầu,Giảm phí gas,Tăng decentralization
Cross-shard communication trong blockchain thường sử dụng gì?,Blockchain,hard,option_1,Merkle Proof,Beacon Chain,State Channel,Rollup
Công nghệ nào sau đây không phải là Layer 2?,Blockchain,hard,option_4,Plasma,Rollup,State Channel,Sharding
Trong blockchain ""MEV"" viết tắt của gì?,Blockchain,hard,option_1,Maximum Extractable Value,Minimal Energy Validation,Multi Exchange Value,Managed Ethereum Validation
Khả năng tương thích EVM cho phép blockchain làm gì?,Blockchain,hard,option_1,Hỗ trợ smart contract Ethereum,Tăng phí gas,Giảm decentralization,Tăng tốc độ block
Chain ID được sử dụng để làm gì trong Ethereum?,Blockchain,hard,option_1,Xác định chain,Bảo mật giao dịch,Tăng tốc độ xử lý,Giảm phí gas
Merkle Root trong một block đại diện cho điều gì?,Blockchain,hard,option_1,Tất cả giao dịch trong block,Hash của header,Hash của nonce,Hash của timestamp
Flash Loan thường được sử dụng trong loại giao dịch nào?,Blockchain,hard,option_1,Arbitrage,Staking,Mining,Delegation
DEX dựa trên AMM khác DEX truyền thống ở điểm nào?,Blockchain,hard,option_2,Sử dụng sổ lệnh,Tự động cung cấp thanh khoản,Tăng bảo mật,Tăng tốc độ xử lý
Trong blockchain thuật ngữ ""re-org"" đề cập đến điều gì?,Blockchain,hard,option_2,Tạo block mới,Tái cấu trúc chain,Fork hard,Giảm số lượng validator
Công nghệ nào cải thiện khả năng mở rộng mà không làm thay đổi blockchain chính?,Blockchain,hard,option_1,Rollup,Hard fork,Cross-chain bridge,Plasma
“Flashbots” chủ yếu giải quyết vấn đề nào trong Ethereum?,Blockchain,hard,option_1,MEV,Phí giao dịch cao,Chậm trễ giao dịch,Bảo mật smart contract
Delegation trong DPoS được thực hiện như thế nào?,Blockchain,hard,option_1,Bằng bầu cử,Random Selection,Node Rotation,Smart Contract Execution
Hợp đồng thông minh có thể tự hủy bằng cách nào?,Blockchain,hard,option_1,Hàm selfDestruct,Hàm terminate,Hàm killContract,Hàm deleteState
Vai trò của “block time” là gì?,Blockchain,hard,option_2,Quy định thời gian xác thực,Quy định thời gian thêm block,Quy định thời gian chuyển trạng thái,Tăng tốc độ xử lý
Hard fork trong blockchain chủ yếu được sử dụng để làm gì?,Blockchain,hard,option_4,Nâng cấp tính năng mới,Thay đổi node chủ chốt,Xử lý lỗi phần mềm,Cả A và C
Ứng dụng của công nghệ “Atomicity” trong blockchain là gì?,Blockchain,hard,option_1,Đảm bảo tất cả hoặc không giao dịch nào được thực hiện,Tăng bảo mật giao dịch,Giảm chi phí giao dịch,Cải thiện tốc độ xử lý
Oracles trong blockchain được dùng để làm gì?,Blockchain,hard,option_1,Cung cấp dữ liệu ngoài chuỗi,Thực thi smart contract,Tăng tốc độ giao dịch,Giảm phí gas
""Nonce"" trong giao dịch Ethereum đại diện cho điều gì?,Blockchain,hard,option_1,Số thứ tự giao dịch của tài khoản,Mã hóa bảo mật,Chỉ số hiệu năng của block,Hash của transaction
Cơ chế đồng thuận nào phù hợp nhất cho mạng lưới IoT?,Blockchain,hard,option_1,PoA,PBFT,DPoS,PoW
Rollup sử dụng Zero-Knowledge Proof có lợi ích gì so với Optimistic Rollup?,Blockchain,hard,option_1,Không cần chờ xác thực,Dễ dàng triển khai,Phí thấp hơn,Hỗ trợ smart contract
ERC-721 trong Ethereum đại diện cho loại token nào?,Blockchain,hard,option_1,Non-fungible token,Fungible token,Stablecoin,Utility token
Trong mô hình UTXO “unspent transaction output” có vai trò gì?,Blockchain,hard,option_1,Xác định phần tiền chưa được sử dụng,Bảo mật giao dịch,Lưu trữ thông tin blockchain,Giảm phí giao dịch
